"titles"
"102 Dalmatians - Puppies To The Rescue [SLUS-01152]"
"2Xtreme [SCUS-94508]"
"3D Baseball [SLUS-00066]"
"3Xtreme [SCUS-94231]"
"40 Winks (Europe)"
"40 Winks (Spain)"
"A-Train [SLUS-00003]"
"Ace Combat 2 (v1.1)"
"Ace Combat 3 - Electrosphere [SLUS-00972]"
"Action Man - Operation Extreme [SLUS-00887]"
"Actua Soccer 2 (Europe) (En,Fr)"
"Actua Soccer 3 (Europe)"
"Advanced Dungeons & Dragons - Iron & Blood - Warriors Of Ravenloft (Europe)"
"Air Combat [SLUS-00001]"
"Air Hockey [SLUS-01467]"
"Akumajou Dracula X - Gekka No Yasoukyoku (v1.2)"
"Alien Resurrection [SLUS-00633]"
"Alone In The Dark - The New Nightmare (Europe) (Disc 1)"
"Alundra"
"Alundra (Europe)"
"Alundra (Germany)"
"Alundra 2 - A New Legend Begins (Europe)"
"Animetic Story Game 1 - Card Captor Sakura (Disc 1)"
"Ape Escape (Europe)"
"Ape Escape [SCUS-94423]"
"Arcade's Greatest Hits - The Midway Collection 2 [SLUS-00450]"
"Army Men - Sarge's Heroes 2 [SLUS-01202]"
"Army Men 3D [SLUS-00491]"
"Assault Retribution [SLUS-00713]"
"Asterix - Mega Madness (Europe) (En,Fr,De,Es,It,Nl)"
"Athena - Awakening From The Ordinary Life"
"Azure Dreams [SLUS-00614]"
"Backyard Soccer [SLUS-01094]"
"Bakusou Kyoudai Let's & Go!! Eternal Wings"
"Barbie - Explorer (Europe)"
"Baroque - Yuganda Mousou"
"Batman - Gotham City Racer [SLUS-01141]"
"Batman & Robin [SLUS-00393]"
"Batman Beyond - Return Of The Joker [SLUS-01207]"
"Batman Forever - The Arcade Game [SLUS-00387]"
"Beast Wars - Transformers [SLUS-00508]"
"Beatmania (Europe)"
"Beyblade - Let It Rip! [SLUS-01489]"
"Biohazard 2 - Dual Shock Ver. (Disc 2) (Claire Hen)"
"Biohazard 3 - Last Escape (v1.0)"
